Objeto,Fornecedor,Período da contratação,E-mail,Telefone
"PRESTAÇÃO DE SERVIÇÕS DE EMPRESA ESPECIALIZADA PARA EMISSÃO DE CERTIFICADO DIGITAL (SSL) DE VALIDAÇÃO COMPLETA DE ORGANIZAÇÃO (OV) PARA USO EM SERVIDORES WEB/SSL, COM VALIDADE DE 12 (DOZE) MESES ",VALID CERTIFICADORA DIGITAL LTDA,,wallace.souza@valid.com,13 99665320 / 11 998113670  
"PRESTAÇÃO DE SERVIÇÕS DE EMPRESA ESPECIALIZADA PARA EMISSÃO DE CERTIFICADO DIGITAL (SSL) DE VALIDAÇÃO COMPLETA DE ORGANIZAÇÃO (OV) PARA USO EM SERVIDORES WEB/SSL, COM VALIDADE DE 12 (DOZE) MESES ",SOLUTI - SOLUCOES EM NEGOCIOS INTELIGENTES S/A,,licitacoes@soluti.com.br, 11 4020 2430
"CONTRATAÇÃO DE SERVIÇOS DE DESENVOLVIMENTO E
MANUTENÇÃO DE SISTEMAS PARA ENTIDADES ESTATAIS",HITSS DO BRASIL SERVICOS TECNOLOGICOS LTDA,,odelio.filho@globalhitss.com.br,(61) 99220-3397
"CONTRATAÇÃO DE SERVIÇOS DE DESENVOLVIMENTO E
MANUTENÇÃO DE SISTEMAS PARA ENTIDADES ESTATAIS",TO BRASIL CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO LTDA.,,rosangela.gomes@to-brasil.com,(21) 3035-0800 / (21) 98105-1317
"CONTRATAÇÃO DE SERVIÇOS DE DESENVOLVIMENTO E
MANUTENÇÃO DE SISTEMAS PARA ENTIDADES ESTATAIS",EXTREME DIGITAL CONSULTORIA E REPRESENTAÇÕES LTDA,,rosemberg.albuquerque@extreme.digital,(21) 97147-7605
"PRESTAÇÃO DE SERVIÇOS CONTROLE INTEGRADO DE VETORES BIOLÓGICOS E PRAGAS URBANAS, INCLUINDO CONTROLE E DESINFESTAÇÃO CONTRA INSETOS VOADORES E RASTEIROS, E DESRATIZAÇÃO, A SER REALIZADO EM TODAS AS LOCALIDADES QUE COMPÕEM A EMPRESA MUNICIPAL DE INFORMÁTICA – IPLANRIO",AMBIENTAL SERVIÇOS ESPECIALIZADOS LTDA.,,comercial@ambiental-cupim.com.br,(21) 2628-6901
"PRESTAÇÃO DE SERVIÇOS CONTROLE INTEGRADO DE VETORES BIOLÓGICOS E PRAGAS URBANAS, INCLUINDO CONTROLE E DESINFESTAÇÃO CONTRA INSETOS VOADORES E RASTEIROS, E DESRATIZAÇÃO, A SER REALIZADO EM TODAS AS LOCALIDADES QUE COMPÕEM A EMPRESA MUNICIPAL DE INFORMÁTICA – IPLANRIO",MN DEDETIZAÇÃO EM GERAL LTDA.,,mndedetizacao@gmail.com,(21) 3659 5142 
"PRESTAÇÃO DE SERVIÇOS CONTROLE INTEGRADO DE VETORES BIOLÓGICOS E PRAGAS URBANAS, INCLUINDO CONTROLE E DESINFESTAÇÃO CONTRA INSETOS VOADORES E RASTEIROS, E DESRATIZAÇÃO, A SER REALIZADO EM TODAS AS LOCALIDADES QUE COMPÕEM A EMPRESA MUNICIPAL DE INFORMÁTICA – IPLANRIO",INSETGLOBAL CONTROLE DE VETORES E PRAGAS LTDA.,,contato@insetglobal.com.br,(21) 3593-0500 / 21 99818 8545
"PRESTAÇÃO DE SERVIÇOS CONTROLE INTEGRADO DE VETORES BIOLÓGICOS E PRAGAS URBANAS, INCLUINDO CONTROLE E DESINFESTAÇÃO CONTRA INSETOS VOADORES E RASTEIROS, E DESRATIZAÇÃO, A SER REALIZADO EM TODAS AS LOCALIDADES QUE COMPÕEM A EMPRESA MUNICIPAL DE INFORMÁTICA – IPLANRIO",AMC CONTROLE DE PRAGAS E VETORES URBANOS LTDA. EPP,,controlc.controledepragas@gmail.com,21 964851348
"PRESTAÇÃO DE SERVIÇOS CONTROLE INTEGRADO DE VETORES BIOLÓGICOS E PRAGAS URBANAS, INCLUINDO CONTROLE E DESINFESTAÇÃO CONTRA INSETOS VOADORES E RASTEIROS, E DESRATIZAÇÃO, A SER REALIZADO EM TODAS AS LOCALIDADES QUE COMPÕEM A EMPRESA MUNICIPAL DE INFORMÁTICA – IPLANRIO",MARIA DE FATIMA BARSAND DE LUCAS SERVIÇO DE DEDETIZAÇÃO ME,,leuxdedetizacao@gmail.com, (5521) 3495-3001    (5521) 99450-8656
"PRESTAÇÃO DE SERVIÇOS CONTROLE INTEGRADO DE VETORES BIOLÓGICOS E PRAGAS URBANAS, INCLUINDO CONTROLE E DESINFESTAÇÃO CONTRA INSETOS VOADORES E RASTEIROS, E DESRATIZAÇÃO, A SER REALIZADO EM TODAS AS LOCALIDADES QUE COMPÕEM A EMPRESA MUNICIPAL DE INFORMÁTICA – IPLANRIO",LJ CONTROL,,ljcontrolservice@gmail.com,(21) 98084-3043
"PRESTAÇÃO DE SERVIÇOS CONTROLE INTEGRADO DE VETORES BIOLÓGICOS E PRAGAS URBANAS, INCLUINDO CONTROLE E DESINFESTAÇÃO CONTRA INSETOS VOADORES E RASTEIROS, E DESRATIZAÇÃO, A SER REALIZADO EM TODAS AS LOCALIDADES QUE COMPÕEM A EMPRESA MUNICIPAL DE INFORMÁTICA – IPLANRIO",AMBIENTAL SERVIÇOS E CONSERVAÇÃO PREDIAL LTDA,,contato@saudenalimpeza.com.br, (21) 3903-1370 - (21) 96908-0786
"PRESTAÇÃO DE SERVIÇOS CONTROLE INTEGRADO DE VETORES BIOLÓGICOS E PRAGAS URBANAS, INCLUINDO CONTROLE E DESINFESTAÇÃO CONTRA INSETOS VOADORES E RASTEIROS, E DESRATIZAÇÃO, A SER REALIZADO EM TODAS AS LOCALIDADES QUE COMPÕEM A EMPRESA MUNICIPAL DE INFORMÁTICA – IPLANRIO",NEX DEDETIZADORA LTDA,,CONTATO@NEXDEDETIZADORA.COM.BR,(21) 3030-1484
FORNECIMENTO DE CRÉDITOS DE SERVIÇOS EM NUVEM,DATARAIN CONSULTING E SERVIÇOS DE TECNOLOGIA LTDA,,,(11) 2424-3381
FORNECIMENTO DE CRÉDITOS DE SERVIÇOS EM NUVEM,SOLO NETWORK BRASIL LTDA,,,(41) 3051 7500
FORNECIMENTO DE CRÉDITOS DE SERVIÇOS EM NUVEM,IPNET SERVIÇOS EM NUVEM E DESENVOLVIMENTO DE SISTEMAS LTDA.,,,(21) 3553 2717
FORNECIMENTO DE CRÉDITOS DE SERVIÇOS EM NUVEM,AX4B SISTEMAS DE INFORMATICA LTDA.,,,(21) 3197  2545
FORNECIMENTO DE CRÉDITOS DE SERVIÇOS EM NUVEM,SISGRAPH LTDA.,,,11) 3889-2000
FORNECIMENTO DE CRÉDITOS DE SERVIÇOS EM NUVEM,EXTREME DIGITAL CONSUL. E REPRESENTAÇÃO LTDA.,,, (21) 3190  1990
FORNECIMENTO DE CRÉDITOS DE SERVIÇOS EM NUVEM,CLARO S.A.,,,21 97594-3212
FORNECIMENTO DE CRÉDITOS DE SERVIÇOS EM NUVEM,GEOAMBIENTE SENSORIAMENTO REMOTO LTDA,,,12 3878 6400
"Prestação de serviço para elaboração de Laudo Técnico de Vistoria Estrutural com parecer conclusivo sobre as condições estruturais de contêiner disponibilizado para a Táxi Rio, contemplando as condições atuais: patologias e inconformidades com as normas pertinentes; e soluções técnicas para adequação/recuperação/tratamento.",ATAC ARQUITETURA E ENGENHARIA LTDA,,engenharia.atac@gmail.com,(21)98121-7129
"Prestação de serviço para elaboração de Laudo Técnico de Vistoria Estrutural com parecer conclusivo sobre as condições estruturais de contêiner disponibilizado para a Táxi Rio, contemplando as condições atuais: patologias e inconformidades com as normas pertinentes; e soluções técnicas para adequação/recuperação/tratamento.",CONTEC CONSTRUCOES TECNICAS DE ENGENHARIA LTDA,,comercial@conteceng.com.br,(21) 98827-8120
"Prestação de serviço para elaboração de Laudo Técnico de Vistoria Estrutural com parecer conclusivo sobre as condições estruturais de contêiner disponibilizado para a Táxi Rio, contemplando as condições atuais: patologias e inconformidades com as normas pertinentes; e soluções técnicas para adequação/recuperação/tratamento.",CR SERVICOS E PROJETOS LTDA,,contato@servicoseprojetos.com.br,(21) 99967-5859
"REGISTRO DE PREÇOS PARA FORNECIMENTO DE LICENÇAS DE SOFTWARE DE BACKUP (RÉPLICA DE BACKUP), INCLUINDO OS SERVIÇOS DE INPLEMENTAÇÃO (ISTALAÇÃO E CONFIGURAÇÃO), GARANTIA DO FABRICANTE POR 60 (SESSENTA) MESES. ",STORBACK TECNOLOGIA COMÉRCIO E SERVIÇOS DE INFORMÁTICA LTDA.,,adalberto.filho@storback.com.br, 21 2223-1050 / 21 2223-1304
"REGISTRO DE PREÇOS PARA FORNECIMENTO DE LICENÇAS DE SOFTWARE DE BACKUP (RÉPLICA DE BACKUP), INCLUINDO OS SERVIÇOS DE INPLEMENTAÇÃO (ISTALAÇÃO E CONFIGURAÇÃO), GARANTIA DO FABRICANTE POR 60 (SESSENTA) MESES. ",SCANSOURCE BRASIL DISTRIBUIDORA DE TECNOLOGIAS LTDA,,henrique.crema@scansource.com,11 99110-8791
"REGISTRO DE PREÇOS PARA FORNECIMENTO DE LICENÇAS DE SOFTWARE DE BACKUP (RÉPLICA DE BACKUP), INCLUINDO OS SERVIÇOS DE INPLEMENTAÇÃO (ISTALAÇÃO E CONFIGURAÇÃO), GARANTIA DO FABRICANTE POR 60 (SESSENTA) MESES. ",R. PREBIANCHI ROCHA INFORMATICA LTDA,,atendimento@backupiperius.com.br,11 4582-4731
"REGISTRO DE PREÇOS PARA FORNECIMENTO DE LICENÇAS DE SOFTWARE DE BACKUP (RÉPLICA DE BACKUP), INCLUINDO OS SERVIÇOS DE INPLEMENTAÇÃO (ISTALAÇÃO E CONFIGURAÇÃO), GARANTIA DO FABRICANTE POR 60 (SESSENTA) MESES. ",TARGETWARE INFORMATICA LTDA,,caues@software.com.br,(11) 3665-8550
"REGISTRO DE PREÇOS PARA FORNECIMENTO DE LICENÇAS DE SOFTWARE DE BACKUP (RÉPLICA DE BACKUP), INCLUINDO OS SERVIÇOS DE INPLEMENTAÇÃO (ISTALAÇÃO E CONFIGURAÇÃO), GARANTIA DO FABRICANTE POR 60 (SESSENTA) MESES. ",NETCENTER INFORMÁTICA LTDA,,fabio.rufino@netcenter.com.br / claudio.medeiros@netcenter.com.br ,(11) 3665-8550
"REGISTRO DE PREÇOS PARA FORNECIMENTO DE LICENÇAS DE SOFTWARE DE BACKUP (RÉPLICA DE BACKUP), INCLUINDO OS SERVIÇOS DE INPLEMENTAÇÃO (ISTALAÇÃO E CONFIGURAÇÃO), GARANTIA DO FABRICANTE POR 60 (SESSENTA) MESES. ",IBS1 INFO BUSINESS SOLUTIONS LTDA ME,,marcos.damiao@ibs1.com.br,21 3178-4110 /  21 99904-4974
"Prestação de serviços de Coleta, Entrega e Custódia de Mídias Magnéticas e Ópticas em Fitoteca de Segurança Externa - 24 MESES",RIOOFFSITE SERVIÇOS DE FITOTECA LTDA,,francisco.ramos@riooffsite.com.br,21 97034 5929
"Prestação de serviços de Coleta, Entrega e Custódia de Mídias Magnéticas e Ópticas em Fitoteca de Segurança Externa - 24 MESES",GRM GESTÃO DOCUMENTAL LTDA,,ricardo.klitzke@grmdoc.com.br,21 2223-1112
"Prestação de serviços de Coleta, Entrega e Custódia de Mídias Magnéticas e Ópticas em Fitoteca de Segurança Externa - 24 MESES",VRO GERENCIAMENTO DE DOCUMENTOS LTDA   ,,comercial.rj1@arquivar.com,21 2653 8509  / 21 99499 2179
"Prestação de serviços de Coleta, Entrega e Custódia de Mídias Magnéticas e Ópticas em Fitoteca de Segurança Externa - 24 MESES",ACCESS GESTÃO DE DOCUMENTOS LTDA.,,wagner.santos@accesscorp.com.br,21 99047 3098
"Contratação de solução unificada de gestão de serviços de TI (ITSM), por 24 meses, incluindo implantação e suporte, com treinamento de equipes e operação assistida da contratada.",ICT - CONSULTORIA EM SISTEMAS DE INFORMACAO LTDA,,jorge.rocha@ictconsult.com.br,31 9 8331-5955
"Contratação de solução unificada de gestão de serviços de TI (ITSM), por 24 meses, incluindo implantação e suporte, com treinamento de equipes e operação assistida da contratada.",MILVUS.COM LTDA,,gabriele.goncalves@bomcontrole.com.br,11 4118-0494
"Contratação de solução unificada de gestão de serviços de TI (ITSM), por 24 meses, incluindo implantação e suporte, com treinamento de equipes e operação assistida da contratada.",LOTUS ICT EMPREENDIMENTOS S.A.,,sales@lotusict.com,21 3495-7073
"Contratação de solução unificada de gestão de serviços de TI (ITSM), por 24 meses, incluindo implantação e suporte, com treinamento de equipes e operação assistida da contratada.",PPN TECNOLOGIA E INFORMATICA LTDA,,comercial@ppntecnologia.com.br,61 3963-0266
"CONTRATAÇÃO DE SOLUÇÃO DE GESTÃO DE VULNERABILIDADES, PARA ATIVOS DE REDE E APLICAÇÕES WEB, NO MODELO DE SERVIÇO,  INCLUINDO IMPLANTAÇÃO E SUPORTE, COM TREINAMENTO DE EQUIPES E ALOCAÇÃO DE TÉCNICO RESIDENTE DA CONTRATADA POR 24MESES.",NETCENTER INFORMÁTICA LTDA,,claudio.medeiros@netcenter.com.br,21  4501-4000
"CONTRATAÇÃO DE SOLUÇÃO DE GESTÃO DE VULNERABILIDADES, PARA ATIVOS DE REDE E APLICAÇÕES WEB, NO MODELO DE SERVIÇO,  INCLUINDO IMPLANTAÇÃO E SUPORTE, COM TREINAMENTO DE EQUIPES E ALOCAÇÃO DE TÉCNICO RESIDENTE DA CONTRATADA POR 24MESES.",VORTEX IT SECURITY LTDA,,fabio.carvano@vortexsecurity.com.br,21 2533-3625
"CONTRATAÇÃO DE SOLUÇÃO DE GESTÃO DE VULNERABILIDADES, PARA ATIVOS DE REDE E APLICAÇÕES WEB, NO MODELO DE SERVIÇO,  INCLUINDO IMPLANTAÇÃO E SUPORTE, COM TREINAMENTO DE EQUIPES E ALOCAÇÃO DE TÉCNICO RESIDENTE DA CONTRATADA POR 24MESES.",NETSECURITY TECNOLOGIA LTDA,,comercial@netsecurity.com.br,11 5089-2060
"CONTRATAÇÃO DE SOLUÇÃO DE GESTÃO DE VULNERABILIDADES, PARA ATIVOS DE REDE E APLICAÇÕES WEB, NO MODELO DE SERVIÇO,  INCLUINDO IMPLANTAÇÃO E SUPORTE, COM TREINAMENTO DE EQUIPES E ALOCAÇÃO DE TÉCNICO RESIDENTE DA CONTRATADA POR 24MESES.",YSSY SOLUÇÕES S.A.,,cristiane.santana@yssy.com.br,11 98570-4342
"CONTRATAÇÃO DE SOLUÇÃO DE GESTÃO DE VULNERABILIDADES, PARA ATIVOS DE REDE E APLICAÇÕES WEB, NO MODELO DE SERVIÇO,  INCLUINDO IMPLANTAÇÃO E SUPORTE, COM TREINAMENTO DE EQUIPES E ALOCAÇÃO DE TÉCNICO RESIDENTE DA CONTRATADA POR 24MESES.",GLOBAL IP TECNOLOGIA DA INFORMACAO LTDA,,keli.nascimento@globalip.com.br,(61) 3327 2777 / 98115 1248
"Registro de Preços para aquisição de Estações, incluindo garantia técnica pelo   período   de   60   (sessenta)   meses, conforme descrito, caracterizado e especificado neste Termo de Referência, para empresas públicas e sociedades de economia mista municipais.",XPART COMERCIO EIRELI,,ariane@premiumstore.com.br,12 3935-3600
"Registro de Preços para aquisição de Estações, incluindo garantia técnica pelo   período   de   60   (sessenta)   meses, conforme descrito, caracterizado e especificado neste Termo de Referência, para empresas públicas e sociedades de economia mista municipais.",A W G C MARQUES EPP  (ATACADAO),,gerencia.televendas@atacadaodatecnologia.com,82 3028 7070
"Registro de Preços para aquisição de Estações, incluindo garantia técnica pelo   período   de   60   (sessenta)   meses, conforme descrito, caracterizado e especificado neste Termo de Referência, para empresas públicas e sociedades de economia mista municipais.",NETCENTER INFORMATICA LTDA,,claudio.medeiros@netcenter.com.br,(21) 4501-4005 | (21) 99526-2763
"Registro de Preços para aquisição de Estações, incluindo garantia técnica pelo   período   de   60   (sessenta)   meses, conforme descrito, caracterizado e especificado neste Termo de Referência, para empresas públicas e sociedades de economia mista municipais.",DIGITAL WORK COMPUTER SERVICE COMERCIAL LTDA,,"fabio.moraes@digitalwork.com.br, emerson.martins@digitalwork.com.br", (11) 3527-9014 / (11) 94552-4806
"Registro de Preços para aquisição de Estações, incluindo garantia técnica pelo   período   de   60   (sessenta)   meses, conforme descrito, caracterizado e especificado neste Termo de Referência, para empresas públicas e sociedades de economia mista municipais.",STORBACK TECNOLOGIA COMÉRCIO E SERVIÇOS DE INFORMÁTICA LTDA,,adalberto.filho@storback.com.br,(21) 2223-1050 | (21) 2223-1304 
"Registro de Preços para aquisição de Estações, incluindo garantia técnica pelo   período   de   60   (sessenta)   meses, conforme descrito, caracterizado e especificado neste Termo de Referência, para empresas públicas e sociedades de economia mista municipais.",PRINT SOLUÇÃO EM TECNOLOGIA LTDA.,,walter@printsolucao.com.br, (27) 3063-6663  /  (27) 99994-1253
Contratação de serviços técnicos especializados para migração e otimização do ambiente de hospedagem da base de dados em MongoDB sediado em nuvem Microsoft Azure que suporta a Plataforma TAXI.RIO para a versão Google Cloud Platform,SEMANTIX TECNOLOGIA EM SISTEM DE INFORMAÇÃO S.A.,,ana.almeida@semantix.ai, (61)98174.0103  (61) 99800.4433
Contratação de serviços técnicos especializados para migração e otimização do ambiente de hospedagem da base de dados em MongoDB sediado em nuvem Microsoft Azure que suporta a Plataforma TAXI.RIO para a versão Google Cloud Platform,SISTEMS INFORMATION TECHNOLOGY LTDA. (EXTRACTTA),,"comercial@extractta.com.br,  marcelo.martines@extractta.com.br",11 3042-1523
Contratação de serviços técnicos especializados para migração e otimização do ambiente de hospedagem da base de dados em MongoDB sediado em nuvem Microsoft Azure que suporta a Plataforma TAXI.RIO para a versão Google Cloud Platform,ADVANCED DATABASE & IT SISTEMAS DE INFORMACAO S A,,marcio.miorelli@advancedit.com.br,(51)98125-6956
"Contratação de empresa especializada na prestação de serviços de limpeza, higiene, conservação e desinfecção, com fornecimento de equipamentos e materiais necessários para atender à Empresa Municipal de Informática S/A - IplanRio, para 03 (três) postos de serviços de servente, pelo período de até 24 (vinte e quatro) meses.",INNOVA AIR SERVIÇOS TÉCNICOS LTDA,,,(24) 2244 8616
"Contratação de empresa especializada na prestação de serviços de limpeza, higiene, conservação e desinfecção, com fornecimento de equipamentos e materiais necessários para atender à Empresa Municipal de Informática S/A - IplanRio, para 03 (três) postos de serviços de servente, pelo período de até 24 (vinte e quatro) meses.",REOBOOT 101 SERVIÇOS LTDA - ME,,,(21) 96478-1708
"Contratação de empresa especializada na prestação de serviços de limpeza, higiene, conservação e desinfecção, com fornecimento de equipamentos e materiais necessários para atender à Empresa Municipal de Informática S/A - IplanRio, para 03 (três) postos de serviços de servente, pelo período de até 24 (vinte e quatro) meses.",SELETTI SERVIÇOS E COMÉRCIO LTDA.,,,(21) 2180-3898
"Contratação de empresa especializada na prestação de serviços de limpeza, higiene, conservação e desinfecção, com fornecimento de equipamentos e materiais necessários para atender à Empresa Municipal de Informática S/A - IplanRio, para 03 (três) postos de serviços de servente, pelo período de até 24 (vinte e quatro) meses.",VALEX SERVIÇOS TÉCNICOS DE LIMPEZA EIRELI-ME,,, (71) 989180430
"Contratação de empresa especializada na prestação de serviços de limpeza, higiene, conservação e desinfecção, com fornecimento de equipamentos e materiais necessários para atender à Empresa Municipal de Informática S/A - IplanRio, para 03 (três) postos de serviços de servente, pelo período de até 24 (vinte e quatro) meses.",VIGDEL SERVIÇOS TERCEIRIZADOS LTDA,,,(21) 977421162
Registro de Preço para Prestação de Serviços de Licenciamento de Software/Subscrições de Produtos Red Hat.,SEPROL - COMÉRCIO E CONSULTORIA EM INFORMÁTICA LTDA,,felipe.giffu@seprol.com.br, (21) 2122-0800
Registro de Preço para Prestação de Serviços de Licenciamento de Software/Subscrições de Produtos Red Hat.,AX4B SISTEMAS DE INFORMÁTICA LTDA,,marcio.cassiano@ax4b.com,21 3197-2545
Registro de Preço para Prestação de Serviços de Licenciamento de Software/Subscrições de Produtos Red Hat.,CSI INOVAÇÃO EM TI EIRELI,,almir@csiway.com.br,(27) 3204-5111  /  27 99935-3859
Registro de Preço para Prestação de Serviços de Licenciamento de Software/Subscrições de Produtos Red Hat.,SUPORTE INFORMÁTICA SOLUÇÕES LTDA,,vital.costa@suporteinformatica.com,81 3202 9100  /  81  99435  8553
Registro de Preço para Prestação de Serviços de Licenciamento de Software/Subscrições de Produtos Red Hat.,MARKWAY BUSINESS E INFORMATICA LTDA,,lucas.pereira@markway.com.br, 21 2212-4500  / 21  36527 7534
"Prestação de Serviços de Solução de Integração de Pagamentos de meios digitais e gestão de recebíveis, via Plataforma TAXI.RIO CIDADES da Prefeitura da Cidade do Rio de Janeiro (PCRJ), que poderá ser utilizada no âmbito nacional",VALLEPAY LTDA,,comercial@vallepay.com.br,12 3932-5655
"Prestação de Serviços de Solução de Integração de Pagamentos de meios digitais e gestão de recebíveis, via Plataforma TAXI.RIO CIDADES da Prefeitura da Cidade do Rio de Janeiro (PCRJ), que poderá ser utilizada no âmbito nacional",LOGPRO SERVIÇOS ADMINISTRATIVOS PARA TERCEIROS LTDA.,,contato@logpro.com.br,48 3658-8086
"Prestação de Serviços de Solução de Integração de Pagamentos de meios digitais e gestão de recebíveis, via Plataforma TAXI.RIO CIDADES da Prefeitura da Cidade do Rio de Janeiro (PCRJ), que poderá ser utilizada no âmbito nacional",RENT TECNOLOGIA LTDA  (TAXI2GO),,contato@taxi2go.com.br, 11 3018-3818
"Aquisição de peças e partes de informática para reposição no estoque da Empresa Municipal de Informática IPLANRIO S/A, visando a manutenção do parque tecnológico da Prefeitura da Cidade do Rio de Janeiro.",CARLOS ANTONIO TOMAZ ME,,,42-3035-4290
"Aquisição de peças e partes de informática para reposição no estoque da Empresa Municipal de Informática IPLANRIO S/A, visando a manutenção do parque tecnológico da Prefeitura da Cidade do Rio de Janeiro.",ELETROWORLD VENDAS E SERVICOS DE INFORMATICA EIRELI,,,21 970160103
"Aquisição de peças e partes de informática para reposição no estoque da Empresa Municipal de Informática IPLANRIO S/A, visando a manutenção do parque tecnológico da Prefeitura da Cidade do Rio de Janeiro.","GLOBAL FIXTECH COMERCIO E SERVICOS DE
INFORMATICA LTDA.",,, 71 99942 8431
"Aquisição de peças e partes de informática para reposição no estoque da Empresa Municipal de Informática IPLANRIO S/A, visando a manutenção do parque tecnológico da Prefeitura da Cidade do Rio de Janeiro.",DAYADO SOLUÇÕES E SERVIÇOS LTDA.,,,986009528
"Aquisição de peças e partes de informática para reposição no estoque da Empresa Municipal de Informática IPLANRIO S/A, visando a manutenção do parque tecnológico da Prefeitura da Cidade do Rio de Janeiro.",A2M COMERCIO E SERVIÇOS EIRELI,,,21 98135-2677
"Aquisição de peças e partes de informática para reposição no estoque da Empresa Municipal de Informática IPLANRIO S/A, visando a manutenção do parque tecnológico da Prefeitura da Cidade do Rio de Janeiro.",JESSI PAPELARIA E INFORMÁTICA EM GERAL LTDA.,,,21 3232-7777
 PRESTAÇÃO DE SERVIÇO DE SEGUROS DE VIDA E DE ACIDENTES PESSOAIS EM GRUPO E DE SEGURO FUNERAL PARA OS EMPREGADOS DA EMPRESA MUNICIPAL DE INFORMÁTICA - IPLANRIO.,AMERICAN LIFE COMPANHIA DE SEGUROS,,marcelo.tavares@alseg.com.br,11 2224-4282
 PRESTAÇÃO DE SERVIÇO DE SEGUROS DE VIDA E DE ACIDENTES PESSOAIS EM GRUPO E DE SEGURO FUNERAL PARA OS EMPREGADOS DA EMPRESA MUNICIPAL DE INFORMÁTICA - IPLANRIO.,UNIMED SEGURADORA S/A,,estudosrio2@segurosunimed.com.br,(21) 2233-3393
 PRESTAÇÃO DE SERVIÇO DE SEGUROS DE VIDA E DE ACIDENTES PESSOAIS EM GRUPO E DE SEGURO FUNERAL PARA OS EMPREGADOS DA EMPRESA MUNICIPAL DE INFORMÁTICA - IPLANRIO.,ICATU SEGUROS S/A,,licitacao@flanci.com.br, (4003 3156  /  21 986432 8300
 PRESTAÇÃO DE SERVIÇO DE SEGUROS DE VIDA E DE ACIDENTES PESSOAIS EM GRUPO E DE SEGURO FUNERAL PARA OS EMPREGADOS DA EMPRESA MUNICIPAL DE INFORMÁTICA - IPLANRIO.,BRASILSEG COMPANHIA DE SEGUROS,,kshatadani@brasilseg.com.br, (11) 5111-1660
 PRESTAÇÃO DE SERVIÇO DE SEGUROS DE VIDA E DE ACIDENTES PESSOAIS EM GRUPO E DE SEGURO FUNERAL PARA OS EMPREGADOS DA EMPRESA MUNICIPAL DE INFORMÁTICA - IPLANRIO.,BRADESCO VIDA E PREVIDENCIA S/A,,carlosbezerra.prmx@gmail.com,(51) 3216.2510 / 3216.2552
 PRESTAÇÃO DE SERVIÇO DE SEGUROS DE VIDA E DE ACIDENTES PESSOAIS EM GRUPO E DE SEGURO FUNERAL PARA OS EMPREGADOS DA EMPRESA MUNICIPAL DE INFORMÁTICA - IPLANRIO.,PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,,victor@petraseguros.com.br, 24 2246 1947  /  24 99296 6951
 PRESTAÇÃO DE SERVIÇO DE SEGUROS DE VIDA E DE ACIDENTES PESSOAIS EM GRUPO E DE SEGURO FUNERAL PARA OS EMPREGADOS DA EMPRESA MUNICIPAL DE INFORMÁTICA - IPLANRIO.,MONGERAL AEGON SEGUROS E PREVIDÊNCIA S/A,,tributosmag@mag.com.br,(51) 3216.2510 / 3216.2552
"Prestação de serviço para atualização de licenças de solução de firewall Checkpoint Security Gateway NGTP para openserver com alta disponibilidade, gerência, centraliza e inteligência de eventos, suporte técnico especializado “premium” e treinamento para 2 (dois) profissionais da CONTRANTANTE para proteção de perímetro interno e externo da rede de dados ",CONTACTA SEGURANÇA EM CONECTIVIDADE LTDA,,mandarino@contacta.com.br,(21) 98802-7179
"Prestação de serviço para atualização de licenças de solução de firewall Checkpoint Security Gateway NGTP para openserver com alta disponibilidade, gerência, centraliza e inteligência de eventos, suporte técnico especializado “premium” e treinamento para 2 (dois) profissionais da CONTRANTANTE para proteção de perímetro interno e externo da rede de dados ",NTSEC SOLUÇÕES EM TELEINFORMÁTICA LTDA,,vanessa.rocha@ntsec.com.br,(61) 3248-3829
"Prestação de serviço para atualização de licenças de solução de firewall Checkpoint Security Gateway NGTP para openserver com alta disponibilidade, gerência, centraliza e inteligência de eventos, suporte técnico especializado “premium” e treinamento para 2 (dois) profissionais da CONTRANTANTE para proteção de perímetro interno e externo da rede de dados ",J M FERREIRA SERVICOS REPRESENTACOES LTDA (YOUNGEST),,janieres@youngest.com.br,(21) 998859546
"PRESTAÇÃO DE SERVIÇOS DE DESINSETIZAÇÃO CONTRA BARATAS, TRAÇAS, LACRAIAS E FORMIGAS E DE DESRATIZAÇÃO NAS DIVERSAS UNIDADES QUE COMPÕEM A EMPRESA MUNICIPAL DE INFORMÁTICA – IPLANRIO",AMBIENTAL SERVIÇOS ESPECIALIZADOS LTDA.,,comercial@ambiental-cupim.com.br, (21) 2628-6901
"PRESTAÇÃO DE SERVIÇOS DE DESINSETIZAÇÃO CONTRA BARATAS, TRAÇAS, LACRAIAS E FORMIGAS E DE DESRATIZAÇÃO NAS DIVERSAS UNIDADES QUE COMPÕEM A EMPRESA MUNICIPAL DE INFORMÁTICA – IPLANRIO",ECOLOGICA IMUNIZACOES E SERVICOS LTDA.,,comercial@ecologicaimunizacoes.com, (21) 2051-5881 / (21) 96480-1220
"PRESTAÇÃO DE SERVIÇOS DE DESINSETIZAÇÃO CONTRA BARATAS, TRAÇAS, LACRAIAS E FORMIGAS E DE DESRATIZAÇÃO NAS DIVERSAS UNIDADES QUE COMPÕEM A EMPRESA MUNICIPAL DE INFORMÁTICA – IPLANRIO",INSETGLOBAL CONTROLE DE VETORES E PRAGAS LTDA.,,contato@insetglobal.com.br,(21) 3593-0500
